mem_total mem_free mem_used mem_buff swap_total swap_free swap_used swap_avail
1827.1 1495.0 176.1 155.9 820.0 732.3 87.7 1508.0
1827.1 1469.6 201.4 156.1 820.0 732.3 87.7 1482.7
1827.1 1444.5 226.5 156.1 820.0 732.3 87.7 1457.6
1827.1 1419.5 251.5 156.1 820.0 732.3 87.7 1432.6
1827.1 1395.0 276.0 156.1 820.0 732.3 87.7 1408.1
1827.1 1370.3 300.7 156.1 820.0 732.3 87.7 1383.4
1827.1 1346.8 324.2 156.1 820.0 732.3 87.7 1359.9
1827.1 1322.2 348.8 156.1 820.0 732.3 87.7 1335.3
1827.1 1297.8 373.2 156.1 820.0 732.3 87.7 1310.9
1827.1 1273.6 397.4 156.1 820.0 732.3 87.7 1286.7
1827.1 1251.1 419.9 156.1 820.0 732.3 87.7 1264.2
1827.1 1229.5 441.5 156.1 820.0 732.3 87.7 1242.5
1827.1 1204.6 466.4 156.1 820.0 732.3 87.7 1217.6
1827.1 1182.2 488.8 156.1 820.0 732.3 87.7 1195.3
1827.1 1157.8 513.2 156.1 820.0 732.3 87.7 1170.9
1827.1 1122.9 548.1 156.1 820.0 732.3 87.7 1136.0
1827.1 1087.7 583.3 156.1 820.0 732.3 87.7 1100.8
1827.1 1050.2 620.8 156.1 820.0 732.3 87.7 1063.3
1827.1 1010.4 660.6 156.1 820.0 732.3 87.7 1023.5
1827.1 971.6 699.4 156.1 820.0 732.3 87.7 984.7
1827.1 932.2 738.8 156.1 820.0 732.3 87.7 945.3
1827.1 893.1 777.9 156.1 820.0 732.3 87.7 906.2
1827.1 856.5 814.5 156.1 820.0 732.3 87.7 869.6
1827.1 820.1 850.9 156.1 820.0 732.3 87.7 833.2
1827.1 782.6 888.4 156.1 820.0 732.3 87.7 795.7
1827.1 746.2 924.8 156.1 820.0 732.3 87.7 759.3
1827.1 708.2 962.8 156.1 820.0 732.3 87.7 721.3
1827.1 669.9 1001.1 156.1 820.0 732.3 87.7 683.0
1827.1 633.0 1038.0 156.1 820.0 732.3 87.7 646.1
1827.1 596.0 1075.0 156.1 820.0 732.3 87.7 609.1
1827.1 558.3 1112.7 156.1 820.0 732.3 87.7 571.4
1827.1 521.3 1149.6 156.1 820.0 732.3 87.7 534.4
1827.1 482.7 1188.2 156.1 820.0 732.3 87.7 495.8
1827.1 451.3 1219.7 156.1 820.0 732.3 87.7 464.4
1827.1 411.1 1259.9 156.1 820.0 732.3 87.7 424.2
1827.1 374.0 1296.9 156.1 820.0 732.3 87.7 387.1
1827.1 333.0 1338.0 156.1 820.0 732.3 87.7 346.1
1827.1 293.7 1377.3 156.1 820.0 732.3 87.7 306.8
1827.1 254.2 1416.8 156.1 820.0 732.3 87.7 267.3
1827.1 213.3 1457.7 156.1 820.0 732.3 87.7 226.4
1827.1 173.0 1498.0 156.1 820.0 732.3 87.7 186.1
1827.1 134.9 1536.1 156.1 820.0 732.3 87.7 148.0
1827.1 97.0 1574.0 156.1 820.0 732.3 87.7 110.1
1827.1 56.7 1614.3 156.1 820.0 732.3 87.7 69.8
1827.1 72.8 1683.7 70.5 820.0 732.3 87.7 33.9
1827.1 70.3 1714.2 42.5 820.0 569.5 250.5 18.5
1827.1 64.6 1711.1 51.4 820.0 478.3 341.7 17.2
1827.1 63.6 1712.2 51.3 820.0 453.8 366.2 16.1
1827.1 70.7 1705.7 50.6 820.0 399.0 421.0 23.0
1827.1 71.5 1708.3 47.3 820.0 361.3 458.7 22.1
1827.1 66.2 1714.5 46.4 820.0 328.5 491.5 16.3
1827.1 71.6 1710.4 45.0 820.0 282.3 537.7 21.1
1827.1 72.5 1708.7 45.8 820.0 241.3 578.7 22.4
1827.1 74.9 1706.8 45.3 820.0 204.3 615.7 24.5
1827.1 76.8 1705.1 45.2 820.0 165.5 654.5 26.3
1827.1 70.1 1710.8 46.2 820.0 66.9 753.1 20.1
1827.1 75.5 1705.7 45.8 820.0 21.2 798.8 25.4
1827.1 1676.8 98.2 52.1 820.0 730.0 90.0 1629.3
